time,open,high,low,close,Volume,Volume MA
1592784300,9282.956271466666,9300.765,9274.028333333334,9300.732488615,6492664.542427231,
1592784600,9299.655821948334,9302.243333333334,9295.9610824,9297.646666666667,1733124.0726433601,
1592784900,9297.385,9298.843333333334,9295.795,9297.475,710743.6872866399,
1592785200,9298.45,9304.679999999997,9298.348333333333,9303.778333333332,2239764.8142611603,558814.8558309196
1592785500,9303.886197526666,9319.2,9302.79453086,9317.873333333333,5980678.53208108,533215.5553136119
1592785800,9318.666666666666,9328.01,9316.804343633334,9327.908333333333,9639932.61240919,928555.9823019031
1592786100,9326.486666666668,9328.821666666667,9316.603333333334,9316.74,2855736.208374589,1035805.6083563005
1592786400,9316.956902315002,9323.568333333333,9315.595235648334,9320.363333333333,1457159.82979614,996675.3591330495
1592786700,9319.325,9320.385,9317.926666666666,9317.948333333334,811396.1114696701,738211.2381024789
1592787000,9317.706666666667,9318.451666666666,9312.666666666666,9317.348333333333,1764160.4626391,344422.6306139743
1592787300,9316.793333333333,9321.755,9316.518333333332,9321.410000000002,1521354.79409088,277703.5598997888
1592787600,9322.668333333333,9322.925,9317.46,9317.858333333334,1202318.09484341,264961.4731521524
1592787900,9318.248333333337,9325.433333333332,9318.123333333333,9324.376666666663,1236599.63370546,286221.64926394186
1592788200,9324.130009123333,9327.673363381666,9324.018333333337,9326.923363381666,1309888.64039149,263508.0581515614
1592788500,9327.425030048333,9331.058333333332,9327.408363381666,9328.81,2625256.1866545896,318703.1277797469
1592788800,9329.441666666666,9330.788333333334,9328.935,9329.835,355171.06253027,276345.7761640899
1592789100,9329.795,9330.331666666667,9328.432945760003,9329.678333333333,657441.6866167199,247387.87880965284
1592789400,9329.203333333333,9331.065,9327.706666666667,9330.756666666666,225480.16850686,193167.45521542133
1592789700,9330.741666666667,9333.046666666667,9329.266666666666,9332.405,2133539.9170790296,168581.64173664336
1592790000,9332.951666666666,9336.291666666666,9330.399508488334,9335.896666666666,1757489.5767770396,238697.56744898183
1592790300,9336.333333333334,9349.7927025,9334.345262036666,9348.656035833334,6147000.332913501,513175.499763821
1592790600,9347.811035833334,9355.093333333332,9346.109369166668,9354.090000000002,6426267.7195414,823214.877315548
1592790900,9354.84,9378.250000000002,9350.648333333333,9376.243333333334,11085599.860333407,1270817.874478267
1592791200,9374.878333333334,9393.028333333334,9371.608333333334,9392.678333333333,20904143.776992526,2228150.5844890415
1592791500,9392.12,9392.738333333333,9374.799036950002,9375.493333333332,12606252.11134805,2551113.1734107686
1592791800,9375.340000000002,9387.978333333334,9374.988333333333,9386.333419671666,3035287.08587267,2381564.1417273325
1592792100,9386.383333333333,9387.325,9369.575,9369.85,3997251.304054139,2027146.7139133688
1592792400,9369.83872081,9371.416666666666,9367.513333333334,9367.948333333334,2276315.77445603,1095755.3137865441
1592792700,9369.063333333334,9372.825,9368.065,9369.623333333333,3644627.8188581904,647674.0991620512
1592793000,9370.223333333333,9373.50383192,9369.351666666667,9372.932165253333,2278880.85134253,609853.7874355442
1592793300,9373.596666666668,9374.05,9370.90706688,9371.871613665002,529039.01729448,436443.1730975612
1592793600,9370.995400213333,9372.12706688,9365.261098641668,9365.486098641666,1963277.4966973597,420791.2592096276
1592793900,9366.451098641666,9373.141666666668,9365.36,9372.501666666667,1488852.5067535702,313002.4936043966
1592794200,9373.254854865,9376.281666666668,9372.324854865,9376.196666666667,2524410.51587257,325278.9768308985
1592794500,9375.396666666666,9378.38,9373.793188198333,9375.853333333333,2145993.84459407,406126.71819587814
1592794800,9376.248188198333,9382.647097438334,9375.301666666668,9381.900430771668,1973557.7195042002,406640.7293362201
1592795100,9382.503333333334,9387.11853447,9381.973333333333,9386.393460808336,4408930.01870845,552644.6049339641
1592795400,9385.375127475,9385.546666666667,9369.758731455,9371.173333333334,7629562.924305779,807902.2253556246
1592795700,9371.805,9376.805,9369.847635341666,9376.376666666667,2041633.93384301,802684.2298180716
1592796000,9375.515,9380.908333333333,9375.493333333334,9380.186666666666,1194364.7793844198,763724.5828120824
1592796300,9378.886600443333,9379.738333333333,9377.5,9378.666666666666,382517.41828498,562403.952790909
1592796600,9377.4,9378.383127026666,9373.041666666668,9375.578333333333,4685632.64267191,415207.4387092153
1592796900,9375.506165525,9378.04,9374.462832191666,9375.43934595,766438.41738578,351447.66288635397
1592797200,9374.656666666668,9375.653333333334,9371.542419503334,9371.74908617,1884920.11869752,385975.429852009
1592797500,9371.225,9374.445000000003,9371.098333333333,9372.725,309673.29503210005,382333.2236893649
1592797800,9373.848333333333,9377.01,9372.903333333334,9376.116666666667,2709498.46992189,283526.515051864
1592798100,9377.008333333333,9377.738333333333,9374.975,9376.698333333334,516617.47986462,271035.46817580605
1592798400,9376.318333333336,9393.863333333333,9375.888333333334,9392.64344619,11985990.584728071,776088.9914773336
1592798700,9392.575112856668,9395.771666666667,9389.021666666666,9389.618333333334,6048558.4095028,1063033.2472008686
1592799000,9389.480822318334,9393.540360596666,9389.177358333332,9393.15869393,2226191.79166204,1038867.9132878764
1592799300,9392.901666666667,9404.901666666667,9392.478333333333,9401.62,8803052.729792261,1453189.6757842584
1592799600,9402.028884611664,9403.630551278333,9395.13,9396.298333333334,2695877.37132511,988684.0151141102
1592799900,9396.135778833332,9397.215778833333,9389.203333333333,9392.221607993333,2776897.1032408993,825100.9498010152
1592800200,9390.643333333332,9392.056666666664,9382.255705868332,9383.972372535,3347400.25659168,881161.3730474969
1592800500,9382.835705868334,9383.129039201667,9375.021666666666,9378.904851188334,4850376.2487017,683527.5489929686
1592800800,9380.059851188333,9386.308333333332,9379.571666666667,9385.806666666667,1445860.76436138,621026.7186447823
1592801100,9386.078333333333,9398.411666666663,9385.87,9396.696666666663,4503730.815916111,707368.4042785426
1592801400,9396.158333333333,9397.18,9391.681666666667,9391.948333333334,3559341.7750611897,717965.4802020183
1592801700,9392.963333333337,9400.414851333333,9391.951666666668,9399.98,2608308.9508641604,605862.1153101414
1592802000,9399.616666666667,9420.852111448334,9399.51,9413.481666666668,30192737.112350877,2043205.932709616
1592802300,9413.855,9420.153333333334,9406.635,9418.08,5167551.95999476,2076396.989913549
1592802600,9418.005826201666,9447.9348638,9417.299159535,9438.975,24483210.370990407,3122590.4197100108
1592802900,9440.25,9443.871666666666,9434.6655505,9443.583333333334,6792916.025396001,3331820.773436603
1592803200,9443.953635336666,9448.560121063332,9429.588333333333,9430.178333333333,7473767.9857023,2195872.3171041743
1592803500,9430.268333333332,9433.625,9424.016666666666,9425.211666666668,3525428.8362323698,2113766.160916054
1592803800,9426.521666666667,9434.683333333334,9424.391666666668,9427.459705833333,3528530.79486246,1066032.1821096572
1592804100,9426.886666666667,9434.949178883333,9426.376666666667,9431.203333333337,2470280.50055339,849900.405867527
1592804400,9430.94,9432.871666666668,9428.711666666666,9429.371666666666,1942035.2795892903,573313.7705618767
1592804700,9429.728333333333,9432.931287243337,9427.763333333334,9429.863333333333,1548645.5987954796,474474.6086900322
1592805000,9430.183900110002,9431.09491636,9415.888333333332,9420.314295248334,2359282.221749461,416012.1800343821
1592805300,9420.73439819,9425.358333333334,9419.393333333332,9420.313333333334,2358909.27896929,410443.61895517696
